City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,kapa'a,22.0752,-159.319,29.99,79,40,6.69,US,2024-06-10
301,nova sintra,14.8667,-24.7167,23.93,79,5,8.86,CV,2024-06-10
302,yeysk,46.6989,38.2792,24.64,61,15,0.4,RU,2024-06-10
303,tangalle,6.024,80.7911,31.09,70,68,7.32,LK,2024-06-10
304,sao vicente,-23.9631,-46.3919,24.1,26,47,2.75,BR,2024-06-10
305,labrador city,52.9463,-66.9114,10.1,69,100,4.63,CA,2024-06-10
306,jinjing,24.575,118.5972,33.01,87,44,7.83,CN,2024-06-10
307,revda,56.801,59.9303,20.31,49,2,2.96,RU,2024-06-10
308,canarana,-11.6847,-41.7689,19.39,84,65,4.35,BR,2024-06-10
309,kidal,18.4411,1.4078,29.83,38,0,1.17,ML,2024-06-10
310,karyes,37.3,22.5,14.81,23,4,1.76,GR,2024-06-10
311,kingaroy,-26.5333,151.8333,19.24,42,0,2.27,AU,2024-06-10
312,fort knox,37.8911,-85.9636,13.93,84,0,2.57,US,2024-06-10
313,esquel,-42.9,-71.3167,4.66,96,100,2.0,AR,2024-06-10
314,port isabel,26.0734,-97.2086,29.45,82,20,3.6,US,2024-06-10
315,hastings,50.8552,0.5729,9.88,85,24,4.78,GB,2024-06-10
316,papao,-17.75,-149.55,25.82,83,88,9.67,PF,2024-06-10
317,yaizu,34.8667,138.3333,27.26,78,75,4.63,JP,2024-06-10
318,puerto santa,-8.9906,-78.6456,17.2,91,72,3.68,PE,2024-06-10
319,san patricio,28.017,-97.5169,29.38,77,1,2.64,US,2024-06-10
320,holbrook,40.8123,-73.0784,18.02,77,75,2.06,US,2024-06-10
321,brookings,44.3114,-96.7984,21.21,52,100,5.66,US,2024-06-10
322,charters towers,-20.1,146.2667,26.3,20,7,2.64,AU,2024-06-10
323,macon,39.8667,-88.9668,15.03,63,0,0.0,US,2024-06-10
324,veraval,20.9,70.3667,30.96,66,79,5.86,IN,2024-06-10
325,nemuro,43.3236,145.575,12.39,96,89,1.32,JP,2024-06-10
326,flying fish cove,-10.4217,105.6791,27.82,83,100,6.17,CX,2024-06-10
327,pariaman,-0.619,100.12,31.03,68,83,2.87,ID,2024-06-10
328,boa vista,2.8197,-60.6733,24.99,94,75,1.03,BR,2024-06-10
329,budesti,44.2347,26.4658,25.34,71,55,3.07,RO,2024-06-10
330,luderitz,-26.6481,15.1594,15.69,69,61,3.27,NA,2024-06-10
331,kodiak,57.79,-152.4072,6.73,93,100,5.14,US,2024-06-10
332,vila velha,-20.3297,-40.2925,17.97,94,0,1.54,BR,2024-06-10
333,saint-paul,-21.0096,55.2707,22.57,68,7,0.97,RE,2024-06-10
334,primorsk,46.7348,36.3443,25.24,62,3,2.64,UA,2024-06-10
335,banda aceh,5.5577,95.3222,30.72,67,99,6.27,ID,2024-06-10
336,awjilah,29.1081,21.2869,29.12,13,0,2.69,LY,2024-06-10
337,dazhong,33.1997,120.4578,30.47,44,99,6.36,CN,2024-06-10
338,baruun-urt,46.6806,113.2792,23.7,38,77,2.01,MN,2024-06-10
339,huambo,-12.7761,15.7392,8.4,62,29,0.58,AO,2024-06-10
340,floro,61.5996,5.0328,10.04,76,40,8.23,NO,2024-06-10
341,buka,40.8108,69.1986,33.7,22,18,3.73,UZ,2024-06-10
342,bulayevo,54.9056,70.4439,15.27,87,100,6.55,KZ,2024-06-10
343,abington,42.1048,-70.9453,16.65,85,5,2.47,US,2024-06-10
344,nizhniy kuranakh,58.8353,125.4869,23.02,31,37,3.96,RU,2024-06-10
345,antofagasta,-23.65,-70.4,15.6,86,15,2.53,CL,2024-06-10
