City_ID,City,Country,Lat,Lng,Humidity,Hotel Name
441,al jawf,SA,29.5,38.75,34,No hotel found
442,mikhaylovskoye,RU,51.8239,79.7172,63,No hotel found
444,la foa,NC,-21.7108,165.8276,84,Oasis de Tendea
445,daru,PG,-9.0763,143.2092,86,Kuki
451,chuguyevka,RU,44.1653,133.8633,51,No hotel found
453,arar,SA,30.9753,41.0381,24,دار أوتيل Dar Otel
455,udachny,RU,66.4167,112.4,36,Вилюй
457,kashgar,CN,39.4547,75.9797,16,深航国际酒店
462,baiyin,CN,36.5583,104.2081,14,红鹭宾馆
466,nicoya,CR,10.1483,-85.452,99,Hotel marianela
467,akhtyrskiy,RU,44.8546,38.3031,55,No hotel found
468,brisas de zicatela,MX,15.8369,-97.0419,78,Casa de Olas
476,boyabat,TR,41.4689,34.7667,61,No hotel found
477,yonan-up,KP,37.9089,126.1611,71,No hotel found
480,robore,BO,-18.3333,-59.75,56,Lajas
481,aykhal,RU,66.0,111.5,34,Уют
482,ceeldheer,SO,3.8488,47.1806,73,No hotel found
485,noumea,NC,-22.2763,166.4572,92,Hotel Gondwana
488,meadow lake,US,34.8014,-106.5436,71,No hotel found
490,mazamari,PE,-11.3258,-74.5308,74,Hospedaje El Conquistador
496,portland,US,45.5234,-122.6762,59,the Hoxton
498,souillac,MU,-20.5167,57.5167,82,Hotel SkylineInn
501,lamu,KE,-2.2717,40.902,76,Hotel Archipelago villa bed and breakfast
502,hatillo,PR,18.4863,-66.8254,80,No hotel found
503,lushun,CN,38.8,121.2667,68,No hotel found
506,muli,MV,2.9167,73.5667,77,Mulaku Atoll
510,merke,KZ,42.8728,73.1786,32,Мерке
513,camargo,MX,27.6667,-105.1667,32,Hotel Santa Fe
516,tonghae,KR,37.5439,129.1069,50,뉴동해관광호텔
517,maiyama,NG,12.0841,4.3677,68,No hotel found
519,bubaque,GW,11.2833,-15.8333,83,Chez Julio
521,tamanrasset,DZ,22.785,5.5228,6,فندق الأمان
523,biltine,TD,14.5333,20.9167,45,فندق ثلاث نجوم بلتن
527,shingu,JP,33.7333,135.9833,67,ホテルニューパレス
529,kharabali,RU,47.4196,47.2568,50,No hotel found
532,dalandzadgad,MN,43.5708,104.425,16,Хан Уул буудал
534,tselinnoye,RU,53.0833,85.6667,77,Гостиница
535,sao gabriel da cachoeira,BR,-0.1303,-67.0892,99,Hotel Deus Me Deu
542,alappuzha,IN,9.49,76.3264,75,Unnis Hotel
543,thinadhoo,MV,0.5333,72.9333,73,No hotel found
545,taungoo,MM,18.9333,96.4333,88,Mothers Guesthouse
548,grand-bassam,CI,5.2118,-3.7388,90,Hôtel 3G
549,mananara,MG,-16.1667,49.7667,78,Chez Roger
553,carutapera,BR,-1.195,-46.02,94,No hotel found
554,laguna,US,38.421,-121.4238,47,Holiday Inn Express & Suites
556,ilhabela,BR,-23.7781,-45.3581,62,Vila Kebaya
558,harper,LR,4.375,-7.7169,83,No hotel found
559,kill devil hills,US,36.0307,-75.676,65,Mariner Days Inn & Suites
561,maitum,PH,6.0392,124.4986,72,No hotel found
563,suntar,RU,62.1444,117.6319,26,No hotel found
564,fortaleza,BR,-3.7227,-38.5247,89,Hotel Catedral
565,karratha,AU,-20.7377,116.8463,32,Karratha International Hotel
566,ilam,NP,26.9167,87.9167,60,Hotel Pokhereli
568,iaciara,BR,-14.0958,-46.6317,61,No hotel found
